"","number","artist","title","genre","year","month"
"1","88510821","엠씨더맥스 (M.C the MAX)","넘쳐흘러","발라드",2019,1
"2","88504833","청하","벌써 12시","댄스",2019,1
"3","88421579","벤","180도","발라드",2019,1
"4","88363609","제니 (JENNIE)","SOLO","랩/힙합",2019,1
"5","88501502","숀 (SHAUN)","습관 (Bad Habits)","일렉트로니카",2019,1
"6","88355491","하은","신용재","발라드",2019,1
"7","88336380","폴킴","너를 만나","발라드",2019,1
"8","88391129","MINO (송민호)","아낙네","랩/힙합",2019,1
"9","88528811","지오디 (god)","길 (Song by 아이유 & 헨리 & 조현아 & 양다일)","발라드",2019,1
"10","88470489","WINNER","MILLIONS","댄스",2019,1
"11","87840106","폴킴","모든 날, 모든 순간 (Every day, Every Moment)","드라마",2019,1
"12","88353506","TWICE (트와이스)","YES or YES","댄스",2019,1
"13","88470430","헤이즈 (Heize)","첫눈에","R&B/소울",2019,1
"14","88316432","케이윌 (K.Will)","내 생에 아름다운","드라마",2019,1
"15","88419409","윤건","너도 그냥 날 놓아주면 돼","발라드",2019,1
"16","88352905","Ariana Grande","thank u, next","팝",2019,1
"17","88542731","Jvcki Wai & 양홍원 & Osshun Gum & 한요한","띵 (Prod. by 기리보이)","랩/힙합",2019,1
"18","88286541","아이유 (IU)","삐삐","R&B/소울",2019,1
"19","88074702","숀 (SHAUN)","Way Back Home","일렉트로니카",2019,1
"20","88251225","바이브","가을 타나 봐","발라드",2019,1
"21","88295011","양다일","고백","발라드",2019,1
"22","87957296","벤","열애중","발라드",2019,1
"23","88417558","허각","흔한 이별","발라드",2019,1
"24","88468830","EXO","Love Shot","댄스",2019,1
"25","88253990","임창정","하루도 그대를 사랑하지 않은 적이 없었다","발라드",2019,1
"26","88244288","임한별","이별하러 가는 길","발라드",2019,1
"27","88510820","엠씨더맥스 (M.C the MAX)","사계 (하루살이)","발라드",2019,1
"28","88371788","비투비","아름답고도 아프구나","발라드",2019,1
"29","88564550","이소라","신청곡 (Feat. SUGA of BTS)","발라드",2019,1
"30","88234302","정승환","잘 지내요","드라마",2019,1
"31","88314881","Queen","Bohemian Rhapsody","해외영화",2019,1
"32","87512697","닐로 (Nilo)","지나오다","발라드",2019,1
"33","88194599","방탄소년단","IDOL","랩/힙합",2019,1
"34","88280580","pH-1 & Kid Milli & 루피 (Loopy)","Good Day (Feat. 팔로알토) (Prod. by 코드 쿤스트)","랩/힙합",2019,1
"35","88562939","우디 (Woody)","이 노래가 클럽에서 나온다면","인디",2019,1
"36","88545599","여자친구 (GFRIEND)","해야 (Sunrise)","댄스",2019,1
"37","87628996","양다일","미안해","R&B/소울",2019,1
"38","87506735","Alan Walker & Noah Cyrus & Digital Farm Animals","All Falls Down (Feat. Juliander)","일렉트로니카",2019,1
"39","88413854","김범수","첫눈처럼 너에게 가겠다 (Prod. by 로코베리)","발라드",2019,1
"40","86380457","폴킴","비","R&B/소울",2019,1
"41","88040624","BLACKPINK","뚜두뚜두 (DDU-DU DDU-DU)","댄스",2019,1
"42","88519312","Apink (에이핑크)","％％ (응응)","댄스",2019,1
"43","87538989","Sia","Snowman","팝",2019,1
"44","88350489","EXO","Tempo","댄스",2019,1
"45","88336403","IZ*ONE (아이즈원)","라비앙로즈 (La Vie en Rose)","댄스",2019,1
"46","87579522","장덕철","그날처럼","발라드",2019,1
"47","87034188","아이유 (IU)","밤편지","발라드",2019,1
"48","88098432","TWICE (트와이스)","Dance The Night Away","댄스",2019,1
"49","88421171","마마무(Mamamoo)","Wind flower","R&B/소울",2019,1
"50","87998685","볼빨간사춘기","여행","인디",2019,1
"51","88224656","선미","사이렌 (Siren)","댄스",2019,1
"52","88462790","하진 (HAJIN)","We All Lie","드라마",2019,1
"53","88242140","펀치 (Punch)","헤어지는 중","R&B/소울",2019,1
"54","87271938","멜로망스 (MeloMance)","선물","인디",2019,1
"55","88353726","노을","너는 어땠을까","발라드",2019,1
