,number,artist,title,genre,heart,t.listener,t.listen
1,92964779,정동원,머나먼 고향,트로트,127,"9,174","16,832"
2,93049951,임영웅 & 이찬원,나에게로 떠나는 여행,락,420,"8,208","13,809"
3,92457797,임영웅,후,트로트,"8,469","221,182","8,666,515"
4,90148254,임영웅,상사화,OST,"6,599","354,890","3,934,171"
5,92457801,이찬원,영암아리랑,트로트,860,"6,126","271,224"
6,92457800,김희재,사랑은 만병통치약,트로트,579,"4,234","203,865"
7,90106090,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,날보러와요,트로트,"3,389","167,788","1,309,090"
8,90106091,임영웅,미워요,트로트,"3,159","93,163","796,478"
9,90148245,영탁,홍시,트로트,"1,134","102,431","708,324"
10,90106096,영탁,누나가 딱이야,트로트,"1,349","120,322","833,939"
11,90148253,이찬원,공,트로트,"1,293","45,522","458,074"
12,90442858,영탁,비와 당신,발라드,776,"48,815","316,132"
13,90148248,장민호,목포행 완행열차,트로트,358,"51,460","349,544"
14,90412812,임영웅,0시의 이별,트로트,"2,000","39,370","255,923"
15,90442859,임영웅,미워도 다시 한번,발라드,"1,906","37,880","229,478"
16,90442851,김호중,행복을 주는 사람,블루스/포크,"2,422","44,489","446,004"
17,90442855,임영웅,My Heart Will Go On,OST,"1,960","35,633","216,654"
18,90106092,김호중,낭만에 대하여,트로트,"2,498","61,765","517,036"
19,90148250,정동원,열두 줄,트로트,361,"42,483","287,513"
20,90442850,정동원,나성에 가면,OST,292,"28,786","155,043"
21,93049943,이찬원,자네! (8자는 뒤집어도 8자),트로트,819,"3,789","92,978"
22,93049944,김희재,좋은 당신,트로트,380,"2,037","28,903"
23,93049945,김희재,꽃망울,트로트,354,"1,773","28,375"
24,93049952,임영웅,바보같지만,트로트,348,"5,953","16,941"
25,93049948,임영웅,밀어 밀어,트로트,269,"5,033","9,148"
26,93049949,정동원,황금별,뮤지컬/공연,98,"2,048","7,092"
27,93049950,영탁,달의 몰락 (울랄라세션 Ver.),락,292,"2,628","6,059"
28,93049953,장민호,특급사랑,트로트,51,"1,696","4,994"
29,93049946,영탁,꽃바람 여인,트로트,271,"2,067","4,881"
30,93049947,장민호,99.9,트로트,55,"1,341","4,181"
31,92107245,임영웅,걷고 싶다,발라드,"8,236","238,661","8,299,671"
32,91691112,임영웅,날 울린 당신,트로트,"7,255","248,189","8,687,353"
33,91622413,임영웅,니가 올래 내가 갈까,트로트,"7,039","227,537","8,500,097"
34,92720605,임영웅,봄봄봄,블루스/포크,"5,141","132,607","2,922,307"
35,90677250,임영웅,오래된 노래,발라드,"18,131","1,131,811","31,848,118"
36,92886208,임영웅,Q,발라드,"5,081","97,555","2,789,338"
37,92560997,임영웅,신 사랑고개,트로트,"5,213","78,960","2,750,330"
38,90252976,영탁,옆집오빠,트로트,"2,104","125,270","2,489,602"
39,90640758,영탁,바람의 노래,OST,"1,743","68,109","2,017,943"
40,91420722,영탁,넌 나의 20대였어,발라드,"1,651","51,201","1,892,390"
41,92107243,영탁,꽃길,트로트,"1,273","28,709","1,433,207"
42,91286262,이찬원,미운 사내,트로트,"1,529","31,917","1,645,581"
43,90640751,이찬원,떠나는 임아,트로트,"1,622","33,516","1,638,097"
44,92457795,영탁,살다보면,발라드,"1,018","24,904","911,188"
45,92327225,이찬원,고장난 벽시계,트로트,"1,163","10,138","906,943"
46,90412813,김희재,회룡포,트로트,"1,140","31,996","1,274,744"
47,91948486,이찬원,연정,트로트,"1,141","13,493","831,626"
48,92561002,이찬원,연리지,트로트,"1,122","7,902","655,607"
49,92107238,이찬원,첫정,트로트,"1,020","12,915","637,427"
50,92187774,이찬원,뜨거운 안녕,발라드,"1,054","9,702","636,179"
51,92402867,영탁,"서울, 이곳은",블루스/포크,912,"13,833","599,512"
52,92266030,이찬원,여여 (如如),트로트,"1,009","8,671","581,644"
53,91064185,임영웅,어느날 문득,발라드,"8,063","349,800","10,295,217"
54,92798380,이찬원,흔적,트로트,"1,020","9,736","572,599"
55,92327230,이찬원,갈무리,트로트,952,"7,197","495,221"
56,92187778,영탁,조율,블루스/포크,"1,215","29,706","497,791"
57,91358281,이찬원,간대요 글쎄,트로트,"1,123","19,430","734,627"
58,90751198,임영웅,그 중에 그대를 만나,발라드,"9,088","553,708","8,258,440"
59,92402869,이찬원,미움인지 그리움인지,트로트,959,"6,859","427,070"
60,92023528,이찬원,그여자의 마스카라,트로트,967,"12,181","448,346"
61,92327233,김희재,희재,OST,758,"5,271","423,957"
62,91893114,이찬원,아침의 나라에서,트로트,"1,058","11,840","504,115"
63,90295220,임영웅,아로하,OST,"8,717","520,239","7,151,184"
64,92327234,영탁,아이라예,트로트,842,"9,814","350,120"
65,92886222,이찬원,안돼요 안돼,트로트,974,"8,192","353,353"
66,92720600,이찬원,여백,트로트,959,"8,293","319,092"
67,90751194,임영웅,그런 사람 또 없습니다,OST,"6,815","331,192","3,939,117"
68,92187779,김희재,여인의 눈물,트로트,654,"5,250","307,356"
69,92886219,영탁,가족사진,발라드,926,"10,639","297,587"
70,92798383,김희재,당신을 사랑해요,트로트,756,"5,506","255,184"
71,90709011,김희재,사랑님,트로트,832,"13,310","384,228"
72,92964770,이찬원,부초같은 인생,트로트,890,"7,518","261,152"
73,92266032,김희재,남자는 속으로 운다,트로트,606,"4,408","215,756"
74,92886224,이찬원,도로남,트로트,864,"6,243","204,982"
75,91691110,영탁,둠바둠바,트로트,942,"20,839","406,796"
76,90169584,임영웅,그리움만 쌓이네,발라드,"4,598","203,877","1,962,181"
77,92720612,김희재,톡톡 쏘는 남자,트로트,613,"4,718","191,197"
78,90106095,임영웅,그 겨울의 찻집,트로트,"4,066","178,193","1,638,293"
79,92107241,김희재,아직도 그대는 내사랑,트로트,614,"5,758","173,431"
80,90216770,임영웅,옛사랑,발라드,"3,728","149,288","1,170,203"
81,90295226,임영웅,서른 즈음에,블루스/포크,"3,497","139,544","1,051,604"
82,92187777,이찬원,찬찬찬,트로트,727,"6,914","161,706"
83,92402865,김희재,당신은 어디 있나요,발라드,579,"3,599","147,222"
84,90148246,임영웅,Despacito,POP,"5,290","239,504","2,817,149"
85,91948490,영탁,벤치,트로트,786,"9,679","155,636"
86,92561003,김희재,화산 (花山),트로트,541,"3,051","139,995"
87,92023523,이찬원,화끈하게 신나게,트로트,750,"8,977","155,258"
88,90340809,임영웅,비상,발라드,"3,279","109,651","877,544"
89,90640755,임영웅,엄마의 노래,트로트,"2,584","65,915","538,897"
90,90252975,임영웅,마법의 성,발라드,"4,385","184,454","1,944,253"
91,92023526,김희재,그 여자,OST,540,"5,501","148,778"
92,90677252,이찬원,사랑안해,발라드,"1,417","41,203","686,167"
93,90124468,임영웅,일소일소 일노일노,트로트,"3,585","138,113","1,161,479"
94,90935304,김희재,흰 수염 고래,락,777,"15,610","371,911"
95,91948492,임영웅,외로운 사람들,트로트,"1,098","21,201","165,471"
96,92266034,임영웅,한잔의 눈물,트로트,"1,126","31,188","126,981"
97,92327227,김희재,내 마음 별과 같이,트로트,548,"3,715","126,990"
